도로,방향,월자,연도,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
충현로,하행,점유율,2016년,2,2,3,4,4,4,5,4,4,5,5,4
평기길,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,821
평기길,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,47
평기길,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,2
평기길,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,993
평기길,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,52
평기길,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,2
한누리대로,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,4582,20747
한누리대로,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,70,69
한누리대로,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,5,4
한누리대로,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,2504,10691
한누리대로,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,66,66
한누리대로,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,2,2
갈매로,상행,차로당도로교통량,2017년,4443,4266,5805,2553,4812,6918,3979,2641,5480,5447,5804,4875
갈매로,상행,평균통행속도,2017년,46,55,57,58,59,58,52,54,55,57,56,55
갈매로,상행,점유율,2017년,1,1,1,1,1,1,2,1,2,1,1,1
갈매로,하행,차로당도로교통량,2017년,4725,5447,7007,3037,5609,7822,5663,3377,6060,5108,5641,2013
갈매로,하행,평균통행속도,2017년,45,53,54,54,54,54,54,54,52,53,53,54
갈매로,하행,점유율,2017년,2,2,2,2,2,2,2,2,2,2,2,1
당산로,상행,차로당도로교통량,2017년,3933,6931,8238,4672,6490,7397,8162,5742,8027,5831,9632,8098
당산로,상행,평균통행속도,2017년,47,58,58,56,55,55,54,52,55,57,56,55
당산로,상행,점유율,2017년,2,3,3,4,4,5,5,5,4,3,3,3
당산로,하행,차로당도로교통량,2017년,1792,2987,3577,2007,2601,2963,3513,2444,3317,2392,4020,3270
당산로,하행,평균통행속도,2017년,46,60,60,57,57,57,55,54,57,58,58,56
당산로,하행,점유율,2017년,2,2,3,3,3,3,3,3,3,3,3,2
산학리길,상행,차로당도로교통량,2017년,1041,1026,1612,751,1872,2498,2107,1624,1941,1754,1692,1266
산학리길,상행,평균통행속도,2017년,50,64,64,63,64,65,62,61,61,63,65,62
산학리길,상행,점유율,2017년,1,2,2,2,2,2,2,3,2,2,2,2
산학리길,하행,차로당도로교통량,2017년,2165,2118,2997,1468,3556,4251,3274,2593,3507,3296,3222,2291
산학리길,하행,평균통행속도,2017년,51,65,67,66,65,65,62,60,62,65,65,62
산학리길,하행,점유율,2017년,1,2,3,2,3,3,3,3,3,2,2,2
새내로,상행,차로당도로교통량,2017년,5090,5597,7309,3549,6953,8832,8095,6123,7194,7979,8258,6847
새내로,상행,평균통행속도,2017년,30,34,28,30,30,30,27,29,29,34,33,33
새내로,상행,점유율,2017년,5,7,11,10,11,11,11,10,10,9,8,8
새내로,하행,차로당도로교통량,2017년,1720,2051,2950,1283,2780,3387,2968,2310,2654,2798,2956,2474
새내로,하행,평균통행속도,2017년,33,38,33,33,34,34,33,33,34,39,41,43
새내로,하행,점유율,2017년,6,6,8,8,8,8,8,9,8,6,6,5
시목부강로,상행,차로당도로교통량,2017년,5430,5725,7056,2922,5886,7655,798,0,5049,5788,6298,5094
시목부강로,상행,평균통행속도,2017년,49,55,54,53,53,53,50,0,52,54,54,53
시목부강로,상행,점유율,2017년,3,4,5,6,6,5,6,0,5,4,5,4
시목부강로,하행,차로당도로교통량,2017년,3913,3908,4910,2257,4784,5895,666,0,4269,4948,4982,3928
시목부강로,하행,평균통행속도,2017년,43,51,51,49,50,51,45,0,49,51,51,49
시목부강로,하행,점유율,2017년,2,3,3,4,4,4,3,0,3,3,3,3
시청대로,상행,차로당도로교통량,2017년,0,0,0,0,0,0,0,2007,3133,3146,3136,0
시청대로,상행,평균통행속도,2017년,0,0,0,0,0,0,0,54,55,54,53,0
시청대로,상행,점유율,2017년,0,0,0,0,0,0,0,2,2,2,2,0
시청대로,하행,차로당도로교통량,2017년,0,0,0,0,0,0,0,1933,2810,2982,3246,2545
시청대로,하행,평균통행속도,2017년,0,0,0,0,0,0,0,49,50,49,50,48
시청대로,하행,점유율,2017년,0,0,0,0,0,0,0,2,2,2,2,2
연청로,상행,차로당도로교통량,2017년,5175,5419,7033,3284,6805,8646,403,0,7288,7717,8037,6048
연청로,상행,평균통행속도,2017년,73,85,87,86,87,88,87,0,87,88,87,84
연청로,상행,점유율,2017년,1,2,2,2,2,2,2,0,2,2,2,2
