도로,방향,월자,연도,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
시목부강로,하행,평균통행속도,2017년,47,49,50,49,49,48,46,0,48,50,50,49
시목부강로,하행,점유율,2017년,3,4,5,5,5,5,5,0,6,4,4,4
시청대로,상행,차로당도로교통량,2017년,0,0,0,0,0,0,0,2870,4878,5223,5143,0
시청대로,상행,평균통행속도,2017년,0,0,0,0,0,0,0,46,47,46,46,0
시청대로,상행,점유율,2017년,0,0,0,0,0,0,0,2,2,2,2,0
시청대로,하행,차로당도로교통량,2017년,0,0,0,0,0,0,0,3113,4959,5758,5474,6033
시청대로,하행,평균통행속도,2017년,0,0,0,0,0,0,0,44,45,45,46,46
시청대로,하행,점유율,2017년,0,0,0,0,0,0,0,3,3,3,3,3
연청로,상행,차로당도로교통량,2017년,8764,7748,8886,3640,8211,8763,123,0,7835,8995,9361,9664
연청로,상행,평균통행속도,2017년,77,84,85,84,85,85,76,0,84,86,85,84
연청로,상행,점유율,2017년,2,2,2,2,2,2,3,0,3,2,2,2
연청로,하행,차로당도로교통량,2017년,7365,7167,9100,4581,8300,8627,81,0,7628,7515,11119,10006
연청로,하행,평균통행속도,2017년,78,82,84,83,79,79,77,0,81,84,82,83
연청로,하행,점유율,2017년,2,3,3,4,4,4,3,0,5,3,3,3
용연로,상행,차로당도로교통량,2017년,1012,943,1144,523,1178,1302,1192,980,1141,1370,1249,1087
용연로,상행,평균통행속도,2017년,49,58,58,59,60,61,60,60,61,63,62,62
용연로,상행,점유율,2017년,1,2,2,2,2,2,2,2,2,2,2,2
용연로,하행,차로당도로교통량,2017년,2762,2622,3470,1729,3246,3671,3070,2472,3456,4140,3414,2669
용연로,하행,평균통행속도,2017년,51,61,62,61,60,61,60,60,59,62,63,62
용연로,하행,점유율,2017년,2,2,2,3,3,3,3,3,4,3,2,2
일반국도1호선,상행,차로당도로교통량,2017년,32591,29947,32834,17359,26861,34537,32731,19466,28799,25492,36519,38926
일반국도1호선,상행,평균통행속도,2017년,74,78,79,79,79,78,77,77,78,78,78,78
일반국도1호선,상행,점유율,2017년,4,5,6,6,7,7,6,6,7,6,5,5
일반국도1호선,하행,차로당도로교통량,2017년,37398,39528,48824,22442,41586,47995,0,0,36277,31961,44786,49680
일반국도1호선,하행,평균통행속도,2017년,80,81,82,80,80,80,0,0,80,80,80,79
일반국도1호선,하행,점유율,2017년,5,7,7,7,8,7,0,0,8,6,6,6
일반국도36호선,상행,차로당도로교통량,2017년,37557,33914,37771,16951,36622,42399,37591,28076,35558,43051,40680,42993
일반국도36호선,상행,평균통행속도,2017년,57,61,62,63,62,61,61,60,61,60,59,58
일반국도36호선,상행,점유율,2017년,4,5,5,5,5,6,5,5,6,5,6,6
일반국도36호선,하행,차로당도로교통량,2017년,35511,30135,33343,15862,30878,35310,7407,24045,30507,40125,35613,37987
일반국도36호선,하행,평균통행속도,2017년,48,50,50,50,49,48,48,46,38,35,35,37
일반국도36호선,하행,점유율,2017년,7,7,7,8,8,8,7,9,12,14,14,12
절재로,상행,차로당도로교통량,2017년,0,0,0,0,0,0,0,9410,15593,18900,18019,18907
절재로,상행,평균통행속도,2017년,0,0,0,0,0,0,0,73,72,71,68,67
절재로,상행,점유율,2017년,0,0,0,0,0,0,0,4,4,4,5,6
절재로,하행,차로당도로교통량,2017년,0,0,0,0,0,0,0,11493,21943,25592,25441,25947
절재로,하행,평균통행속도,2017년,0,0,0,0,0,0,0,65,66,66,62,62
절재로,하행,점유율,2017년,0,0,0,0,0,0,0,6,6,6,7,6
정안세종로,상행,차로당도로교통량,2017년,21056,20643,23545,10505,21484,24466,20413,16023,21248,27325,26050,25675
정안세종로,상행,평균통행속도,2017년,58,60,62,62,62,62,60,62,61,60,58,58
정안세종로,상행,점유율,2017년,2,2,2,2,2,2,2,2,3,3,3,3
정안세종로,하행,차로당도로교통량,2017년,13622,11600,12805,6200,13093,14414,11985,9220,12163,15167,13428,13658
정안세종로,하행,평균통행속도,2017년,59,67,68,67,67,68,68,67,67,65,64,64
정안세종로,하행,점유율,2017년,2,2,2,2,2,2,2,2,2,2,2,2
조치원로,상행,차로당도로교통량,2017년,15368,13410,13784,5629,12647,12282,12055,8794,11584,13812,13851,10466
조치원로,상행,평균통행속도,2017년,29,32,29,26,26,24,26,24,30,33,35,35
조치원로,상행,점유율,2017년,9,11,13,16,13,16,14,15,11,9,8,8
조치원로,하행,차로당도로교통량,2017년,7475,6377,6928,2641,5897,6323,5318,3868,5221,6300,6295,4910
조치원로,하행,평균통행속도,2017년,25,28,26,20,24,22,19,18,24,29,25,25
조치원로,하행,점유율,2017년,13,16,17,24,19,21,24,25,20,13,20,20
지방도604호선,상행,차로당도로교통량,2017년,11742,9971,11925,5880,3737,0,0,0,7629,5930,8102,10461
지방도604호선,상행,평균통행속도,2017년,84,93,94,93,94,0,0,0,93,94,97,96
지방도604호선,상행,점유율,2017년,2,3,2,3,2,0,0,0,3,4,2,2
지방도604호선,하행,차로당도로교통량,2017년,13367,12099,14084,6187,2034,5017,0,0,11560,9910,15786,15706
지방도604호선,하행,평균통행속도,2017년,87,93,94,94,109,105,0,0,94,94,94,94
지방도604호선,하행,점유율,2017년,2,3,3,3,6,10,0,0,4,2,2,2
지방도96호선,상행,차로당도로교통량,2017년,11514,11156,12560,4671,9251,28041,24103,13920,11357,11659,11367,12240
